EPOCH=001,Accuracy= 56.960%
EPOCH=002,Accuracy= 66.040%
EPOCH=003,Accuracy= 70.440%
EPOCH=004,Accuracy= 76.980%
EPOCH=005,Accuracy= 77.070%
EPOCH=006,Accuracy= 77.340%
EPOCH=007,Accuracy= 79.250%
EPOCH=008,Accuracy= 83.530%
EPOCH=009,Accuracy= 80.480%
EPOCH=010,Accuracy= 83.200%
EPOCH=011,Accuracy= 82.920%
EPOCH=012,Accuracy= 85.620%
EPOCH=013,Accuracy= 83.020%
EPOCH=014,Accuracy= 83.480%
EPOCH=015,Accuracy= 87.400%
EPOCH=016,Accuracy= 82.870%
EPOCH=017,Accuracy= 87.160%
EPOCH=018,Accuracy= 86.470%
EPOCH=019,Accuracy= 86.240%
EPOCH=020,Accuracy= 87.940%
EPOCH=021,Accuracy= 82.950%
EPOCH=022,Accuracy= 84.940%
EPOCH=023,Accuracy= 87.670%
EPOCH=024,Accuracy= 87.460%
EPOCH=025,Accuracy= 89.240%
EPOCH=026,Accuracy= 88.060%
EPOCH=027,Accuracy= 89.130%
EPOCH=028,Accuracy= 88.090%
EPOCH=029,Accuracy= 88.730%
EPOCH=030,Accuracy= 88.770%
EPOCH=031,Accuracy= 88.440%
EPOCH=032,Accuracy= 90.490%
EPOCH=033,Accuracy= 89.510%
EPOCH=034,Accuracy= 89.780%
EPOCH=035,Accuracy= 88.850%
EPOCH=036,Accuracy= 90.280%
EPOCH=037,Accuracy= 88.920%
EPOCH=038,Accuracy= 89.680%
EPOCH=039,Accuracy= 89.790%
EPOCH=040,Accuracy= 90.070%
EPOCH=041,Accuracy= 90.690%
EPOCH=042,Accuracy= 89.120%
EPOCH=043,Accuracy= 90.600%
EPOCH=044,Accuracy= 90.250%
EPOCH=045,Accuracy= 89.460%
EPOCH=046,Accuracy= 89.610%
EPOCH=047,Accuracy= 89.060%
EPOCH=048,Accuracy= 90.740%
EPOCH=049,Accuracy= 89.950%
EPOCH=050,Accuracy= 90.880%
EPOCH=051,Accuracy= 90.900%
EPOCH=052,Accuracy= 91.700%
EPOCH=053,Accuracy= 89.940%
EPOCH=054,Accuracy= 90.420%
EPOCH=055,Accuracy= 90.310%
EPOCH=056,Accuracy= 90.860%
EPOCH=057,Accuracy= 91.520%
EPOCH=058,Accuracy= 90.390%
EPOCH=059,Accuracy= 89.720%
EPOCH=060,Accuracy= 90.310%
EPOCH=061,Accuracy= 91.380%
EPOCH=062,Accuracy= 90.700%
EPOCH=063,Accuracy= 89.870%
EPOCH=064,Accuracy= 90.870%
EPOCH=065,Accuracy= 90.320%
EPOCH=066,Accuracy= 91.430%
EPOCH=067,Accuracy= 90.340%
EPOCH=068,Accuracy= 90.550%
EPOCH=069,Accuracy= 91.220%
EPOCH=070,Accuracy= 91.850%
EPOCH=071,Accuracy= 91.270%
EPOCH=072,Accuracy= 90.460%
EPOCH=073,Accuracy= 90.520%
EPOCH=074,Accuracy= 92.060%
EPOCH=075,Accuracy= 91.460%
EPOCH=076,Accuracy= 91.200%
EPOCH=077,Accuracy= 90.420%
EPOCH=078,Accuracy= 91.240%
EPOCH=079,Accuracy= 91.710%
EPOCH=080,Accuracy= 91.640%
EPOCH=081,Accuracy= 91.590%
EPOCH=082,Accuracy= 89.360%
EPOCH=083,Accuracy= 91.590%
EPOCH=084,Accuracy= 90.450%
EPOCH=085,Accuracy= 90.240%
EPOCH=086,Accuracy= 90.490%
EPOCH=087,Accuracy= 91.050%
EPOCH=088,Accuracy= 91.080%
EPOCH=089,Accuracy= 91.300%
EPOCH=090,Accuracy= 91.070%
EPOCH=091,Accuracy= 92.180%
EPOCH=092,Accuracy= 91.780%
EPOCH=093,Accuracy= 90.970%
EPOCH=094,Accuracy= 91.520%
EPOCH=095,Accuracy= 92.020%
EPOCH=096,Accuracy= 92.150%
EPOCH=097,Accuracy= 91.760%
EPOCH=098,Accuracy= 91.380%
EPOCH=099,Accuracy= 91.470%
EPOCH=100,Accuracy= 91.500%
