001  00391 | Loss: 1.416 | Acc: 48.030% 
002  00782 | Loss: 0.901 | Acc: 68.024% 
003  01173 | Loss: 0.696 | Acc: 75.788% 
004  01564 | Loss: 0.588 | Acc: 79.534% 
005  01955 | Loss: 0.516 | Acc: 82.094% 
006  02346 | Loss: 0.462 | Acc: 84.004% 
007  02737 | Loss: 0.418 | Acc: 85.482% 
008  03128 | Loss: 0.389 | Acc: 86.372% 
009  03519 | Loss: 0.354 | Acc: 87.730% 
010  03910 | Loss: 0.326 | Acc: 88.846% 
011  04301 | Loss: 0.302 | Acc: 89.476% 
012  04692 | Loss: 0.291 | Acc: 89.820% 
013  05083 | Loss: 0.268 | Acc: 90.562% 
014  05474 | Loss: 0.248 | Acc: 91.378% 
015  05865 | Loss: 0.230 | Acc: 91.954% 
016  06256 | Loss: 0.227 | Acc: 92.014% 
017  06647 | Loss: 0.215 | Acc: 92.480% 
018  07038 | Loss: 0.204 | Acc: 92.864% 
019  07429 | Loss: 0.190 | Acc: 93.390% 
020  07820 | Loss: 0.179 | Acc: 93.682% 
021  08211 | Loss: 0.173 | Acc: 93.850% 
022  08602 | Loss: 0.164 | Acc: 94.294% 
023  08993 | Loss: 0.159 | Acc: 94.416% 
024  09384 | Loss: 0.152 | Acc: 94.666% 
025  09775 | Loss: 0.145 | Acc: 94.942% 
026  10166 | Loss: 0.141 | Acc: 94.966% 
027  10557 | Loss: 0.128 | Acc: 95.408% 
028  10948 | Loss: 0.124 | Acc: 95.598% 
029  11339 | Loss: 0.123 | Acc: 95.668% 
030  11730 | Loss: 0.121 | Acc: 95.780% 
031  12121 | Loss: 0.115 | Acc: 95.970% 
032  12512 | Loss: 0.109 | Acc: 96.148% 
033  12903 | Loss: 0.104 | Acc: 96.334% 
034  13294 | Loss: 0.099 | Acc: 96.464% 
035  13685 | Loss: 0.098 | Acc: 96.634% 
036  14076 | Loss: 0.100 | Acc: 96.462% 
037  14467 | Loss: 0.093 | Acc: 96.802% 
038  14858 | Loss: 0.087 | Acc: 97.032% 
039  15249 | Loss: 0.082 | Acc: 97.276% 
040  15640 | Loss: 0.084 | Acc: 97.056% 
041  16031 | Loss: 0.081 | Acc: 97.168% 
042  16422 | Loss: 0.080 | Acc: 97.194% 
043  16813 | Loss: 0.082 | Acc: 97.156% 
044  17204 | Loss: 0.081 | Acc: 97.156% 
045  17595 | Loss: 0.073 | Acc: 97.504% 
046  17986 | Loss: 0.070 | Acc: 97.578% 
047  18377 | Loss: 0.071 | Acc: 97.512% 
048  18768 | Loss: 0.070 | Acc: 97.554% 
049  19159 | Loss: 0.069 | Acc: 97.514% 
050  19550 | Loss: 0.068 | Acc: 97.614% 
051  19941 | Loss: 0.067 | Acc: 97.672% 
052  20332 | Loss: 0.062 | Acc: 97.838% 
053  20723 | Loss: 0.067 | Acc: 97.642% 
054  21114 | Loss: 0.062 | Acc: 97.848% 
055  21505 | Loss: 0.066 | Acc: 97.738% 
056  21896 | Loss: 0.060 | Acc: 97.978% 
057  22287 | Loss: 0.054 | Acc: 98.154% 
058  22678 | Loss: 0.059 | Acc: 98.010% 
059  23069 | Loss: 0.062 | Acc: 97.862% 
060  23460 | Loss: 0.062 | Acc: 97.856% 
061  23851 | Loss: 0.060 | Acc: 97.908% 
062  24242 | Loss: 0.056 | Acc: 98.128% 
063  24633 | Loss: 0.059 | Acc: 98.030% 
064  25024 | Loss: 0.055 | Acc: 98.164% 
065  25415 | Loss: 0.055 | Acc: 98.166% 
066  25806 | Loss: 0.054 | Acc: 98.122% 
067  26197 | Loss: 0.056 | Acc: 98.090% 
068  26588 | Loss: 0.057 | Acc: 98.074% 
069  26979 | Loss: 0.060 | Acc: 97.990% 
070  27370 | Loss: 0.055 | Acc: 98.152% 
071  27761 | Loss: 0.052 | Acc: 98.190% 
072  28152 | Loss: 0.054 | Acc: 98.244% 
073  28543 | Loss: 0.060 | Acc: 97.940% 
074  28934 | Loss: 0.057 | Acc: 98.114% 
075  29325 | Loss: 0.050 | Acc: 98.286% 
076  29716 | Loss: 0.059 | Acc: 97.970% 
077  30107 | Loss: 0.055 | Acc: 98.104% 
078  30498 | Loss: 0.052 | Acc: 98.300% 
079  30889 | Loss: 0.054 | Acc: 98.232% 
080  31280 | Loss: 0.058 | Acc: 98.028% 
081  31671 | Loss: 0.055 | Acc: 98.132% 
082  32062 | Loss: 0.055 | Acc: 98.176% 
083  32453 | Loss: 0.053 | Acc: 98.270% 
084  32844 | Loss: 0.051 | Acc: 98.316% 
085  33235 | Loss: 0.054 | Acc: 98.174% 
086  33626 | Loss: 0.048 | Acc: 98.402% 
087  34017 | Loss: 0.053 | Acc: 98.298% 
088  34408 | Loss: 0.058 | Acc: 98.090% 
089  34799 | Loss: 0.053 | Acc: 98.236% 
090  35190 | Loss: 0.063 | Acc: 97.854% 
091  35581 | Loss: 0.055 | Acc: 98.212% 
092  35972 | Loss: 0.053 | Acc: 98.298% 
093  36363 | Loss: 0.050 | Acc: 98.400% 
094  36754 | Loss: 0.056 | Acc: 98.130% 
095  37145 | Loss: 0.054 | Acc: 98.192% 
096  37536 | Loss: 0.054 | Acc: 98.134% 
097  37927 | Loss: 0.051 | Acc: 98.272% 
098  38318 | Loss: 0.059 | Acc: 98.014% 
099  38709 | Loss: 0.052 | Acc: 98.228% 
100  39100 | Loss: 0.054 | Acc: 98.166% 
